"['tumor', 'arsenic']","['Disease', 'amod', 'pobj', 'prep', 'pobj', 'amod', 'Chemical']",Action of BAL on the tumor-damaging potency of certain trivalent arsenic compounds.
"['pink_disease', 'mercury']","['Disease', 'acl', 'agent', 'pobj', 'compound', 'Chemical']","[Acrodynia, pink_disease presumably caused by occult mercury allergy]."
"['Acrodynia', 'mercury']","['Disease', 'appos', 'acl', 'agent', 'pobj', 'compound', 'Chemical']","[Acrodynia, pink_disease presumably caused by occult mercury allergy]."
"['alveolitis', 'bronchopneumonia']","['Disease', 'conj', 'conj', 'Chemical']","[Broncho-alveolitis, suffocative catarrh and bronchopneumonia]."
"['catarrh', 'bronchopneumonia']","['Disease', 'conj', 'Chemical']","[Broncho-alveolitis, suffocative catarrh and bronchopneumonia]."
"['catarrh', 'bronchopneumonia']","['Disease', 'conj', 'Chemical']","[Broncho-alveolitis, suffocative catarrh and bronchopneumonia]."
"['rheumatoid_arthritis', 'cortisone']","['Disease', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'compound', 'Chemical']",[Cortisone treatment of rheumatoid_arthritis and a perusal of the present status of the ACTH and cortisone problem].
"['Agranulocytosis', 'acetylarsan']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'amod', 'Chemical']",Agranulocytosis following administration of acetylarsan injections.
"['anemia', 'chloramphenicol']","['Disease', 'conj', 'Chemical']",APLASTIC anemia and chloramphenicol.
"['spastic_flatfoot', 'procaine']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'compound', 'Chemical']",Treatment of spastic_flatfoot with procaine-hyaluronidase and stretching.
"['Splenomegaly', 'stilbestrol']","['Disease', 'ROOT', 'prep', 'pobj', 'Chemical']",Splenomegaly with excess numbers of Kurloff cells in guinea_pigs treated with stilbestrol.
"['Splenomegaly', 'stilbestrol']","['Disease', 'ROOT', 'prep', 'pobj', 'Chemical']",Splenomegaly with excess numbers of Kurloff cells in guinea_pigs treated with stilbestrol.
"['muscle_lesions', 'cortisone']","['Disease', 'prep', 'pobj', 'amod', 'Chemical']",Skeletal muscle_lesions in cortisone enhanced poliomyelitis.
"['Dermatosis', 'lactose']","['Disease', 'ROOT', 'dobj', 'amod', 'Chemical']",Dermatosis in weanling rats fed lactose diets. I. The influence of relative humidity and diet.
"['Dermatosis', 'lactose']","['Disease', 'ROOT', 'dobj', 'amod', 'Chemical']",Dermatosis in weanling rats fed lactose diets. I. The influence of relative humidity and diet.
"['acrodynia', 'pyridoxine']","['Disease', 'prep', 'dobj', 'prep', 'pobj', 'amod', 'npadvmod', 'Chemical']",Factors affecting the development of acrodynia in pyridoxine-deficient rats.
"['acrodynia', 'pyridoxine']","['Disease', 'prep', 'dobj', 'prep', 'pobj', 'amod', 'npadvmod', 'Chemical']",Factors affecting the development of acrodynia in pyridoxine-deficient rats.
"['pneumococcal_meningitis', 'penicillin']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",The treatment of pneumococcal_meningitis since the introduction of penicillin.
"['rheumatism', 'tolserone']","['Disease', 'prep', 'pobj', 'Chemical']",[Therapy of rheumatism with the new muscle relaxant tolserone].
"['poisoning', 'phosphorus']","['Disease', 'prep', 'pobj', 'compound', 'Chemical']",Clinical aspects of poisoning by organic phosphorus insecticides.
"['fever', 'sodium_psylliate']","['Disease', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']","Treatment of hay fever, vasomotor_rhinitis_and_vasomotor_sinusitis with sodium_psylliate; 900 cases."
"['vasomotor_rhinitis_and_vasomotor_sinusitis', 'sodium_psylliate']","['Disease', 'prep', 'pobj', 'Chemical']","Treatment of hay fever, vasomotor_rhinitis_and_vasomotor_sinusitis with sodium_psylliate; 900 cases."
"['vasomotor_rhinitis_and_vasomotor_sinusitis', 'sodium_psylliate']","['Disease', 'prep', 'pobj', 'Chemical']","Treatment of hay fever, vasomotor_rhinitis_and_vasomotor_sinusitis with sodium_psylliate; 900 cases."
"['tuberculosis', 'isonicotinic_acid_hydrazide']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'dep', 'ROOT', 'Chemical']",[Experiences at the Institute Carlo Forlanini with a new chemical preparation in the treatment of tuberculosis; isonicotinic_acid_hydrazide].
"['pulmonary_tuberculosis', 'isonicotinic_acid_hydrazide']","['Disease', 'prep', 'pobj', 'Chemical']",[Observations on appearance of new foci or foci which appear as such during the treatment of pulmonary_tuberculosis with isonicotinic_acid_hydrazide].
"[""Reiter's_syndrome"", 'antihistamine']","['Disease', 'ROOT', 'prep', 'pobj', 'Chemical']","Reiter's_syndrome, successful treatment with an antihistamine."
"['rheumatic_heart_disease', 'cortisone_acetate']","['Disease', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'Chemical']","[Case of rheumatic_heart_disease treated with cortisone_acetate; observations on clinical picture, and metabolic and functional changes]."
"['typhoid_fever', 'chloramphenicol']","['Disease', 'prep', 'pobj', 'prep', 'npadvmod', 'ROOT', 'prep', 'pobj', 'Chemical']","[Diagnosis, immunity, and condition of a patient in typhoid_fever; report of 103 cases with majority treated with chloramphenicol]."
"['typhoid_fever', 'chloramphenicol']","['Disease', 'prep', 'pobj', 'prep', 'npadvmod', 'ROOT', 'prep', 'pobj', 'Chemical']","[Diagnosis, immunity, and condition of a patient in typhoid_fever; report of 103 cases with majority treated with chloramphenicol]."
"['pulmonary_tuberculosis', 'isonicotinic_acid_hydrazide']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Treatment of pulmonary_tuberculosis with isonicotinic_acid_hydrazide].
"['tuberculosis', 'isonicotinic_acid_hydrazide']","['Disease', 'prep', 'ROOT', 'appos', 'relcl', 'Chemical']",[Chemotherapy of tuberculosis; special reference to isonicotinic_acid_hydrazide].
"['encephalitis', 'silver']","['Disease', 'prep', 'pobj', 'compound', 'Chemical']",[Studies on the etiology of epizooting encephalitis of silver foxes in Poland].
"['convulsions', 'butyric_acid']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",Relief of hypoglycaemic convulsions with butyric_acid.
"['arthropathies', 'cortisone']","['Disease', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'compound', 'Chemical']",[Hippocratic finger with arthropathies of pulmonary origin; effect of cortisone therapy].
"['rheumatoid_arthritis', 'nitrogen']","['Disease', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Chemical']",Response of patients with rheumatoid_arthritis to the administration of nitrogen mustard.
"['rheumatoid_arthritis', 'nitrogen']","['Disease', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Chemical']",Response of patients with rheumatoid_arthritis to the administration of nitrogen mustard.
"['arteriosclerosis', 'cholesterol']","['Disease', 'prep', 'pobj', 'Chemical']",[Action of lucinolytic enzyme complexes on the course of experimental arteriosclerosis from cholesterol; preliminary note].
"['tuberculosis', 'cortisone']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'streptomycin']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'cortisone']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'streptomycin']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'cortisone']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'streptomycin']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'cortisone']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tuberculosis', 'streptomycin']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'conj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['malignant_leukemia', 'folic_acid']","['Disease', 'conj', 'appos', 'Chemical']",[Aminopterin in the treatment of malignant_leukemia and its antidote--folic_acid].
"['erythroblastosis', 'dihydrotachysterol']","['Disease', 'prep', 'ROOT', 'appos', 'prep', 'conj', 'pobj', 'Chemical']",[Case of chronic erythroblastosis in adult with osteosclerosis; attempted therapy with parathyroid hormones and with dihydrotachysterol].
"['osteosclerosis', 'dihydrotachysterol']","['Disease', 'prep', 'pobj', 'prep', 'ROOT', 'appos', 'prep', 'conj', 'pobj', 'Chemical']",[Case of chronic erythroblastosis in adult with osteosclerosis; attempted therapy with parathyroid hormones and with dihydrotachysterol].
"['osteosclerosis', 'dihydrotachysterol']","['Disease', 'prep', 'pobj', 'prep', 'ROOT', 'appos', 'prep', 'conj', 'pobj', 'Chemical']",[Case of chronic erythroblastosis in adult with osteosclerosis; attempted therapy with parathyroid hormones and with dihydrotachysterol].
"['Hypoprothrombinemia', 'dicoumarin']","['Disease', 'amod', 'advcl', 'Chemical']",[Hypoprothrombinemia secondary to dicoumarin therapy; shock due to prolonged vitamin_K2 therapy and perfusions and spectacular cure with vitamin_K1].
"['Hypoprothrombinemia', 'vitamin_K2']","['Disease', 'ROOT', 'amod', 'pobj', 'compound', 'Chemical']",[Hypoprothrombinemia secondary to dicoumarin therapy; shock due to prolonged vitamin_K2 therapy and perfusions and spectacular cure with vitamin_K1].
"['Hypoprothrombinemia', 'vitamin_K1']","['Disease', 'ROOT', 'amod', 'pobj', 'prep', 'pobj', 'Chemical']",[Hypoprothrombinemia secondary to dicoumarin therapy; shock due to prolonged vitamin_K2 therapy and perfusions and spectacular cure with vitamin_K1].
"['tuberculosis', 'thiosemicarbazone']","['Disease', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'conj', 'pobj', 'Chemical']",[Aspects of chemotherapy of tuberculosis in the sanatorium and especially by thiosemicarbazone (TB 1)].
"['intracranial_neoplasms', 'diiodofluorescien']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",Localization of intracranial_neoplasms with radioactive diiodofluorescien.
"['agranulocytosis', 'tibione']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Acute agranulocytosis during the use of tibione.
"['burns_of_the_mouth', 'sodium_hydroxide']","['Disease', 'conj', 'prep', 'pobj', 'Chemical']",[Caustic burns_of_the_mouth and esophagus with sodium_hydroxide and their sequelae; management of esophageal stenosis with antibiotics and bougie].
"[""Addison's_disease"", 'cortisone']","['Disease', 'prep', 'pobj', 'Chemical']",[Treatment of Addison's_disease with cortisone].
"['biliary_diseases', 'bile_acids']","['Disease', 'prep', 'dobj', 'acl', 'prep', 'pobj', 'Chemical']",A method to improve roentgen diagnosis of biliary_diseases with bile_acids.
"['gastric_cancers', 'acetic_acid']","['Disease', 'prep', 'conj', 'pobj', 'amod', 'advmod', 'Chemical']","Biochemical studies on carbohydrates. CLVI. On the sugar components of the hexosamine-containing carbohydrates from gastric_cancers, normal human gastric mucosa and human liver and of the glacial acetic_acid-soluble proteins from those tissues as well as a metastasis in liver of gastric_cancer."
